,Date,Time,Distance,Elevation,time,Avg_Pace,Total_Seconds,Speed
0,7/15/20,0:32:24,3.82,53,32.4,8.5,1944.0,Slow
1,7/17/20,0:06:00,1.06,27,6.0,5.7,360.0,Fast
2,7/18/20,2:12:12,7.55,"1,139",132.2,17.5,7932.0,Slow
3,7/20/20,0:14:14,2.0,30,14.23,7.1,854.0,Slow
4,7/23/20,0:19:49,3.04,76,19.82,6.5,1189.0,Fast
5,7/26/20,0:13:39,1.98,49,13.65,6.9,819.0,Fast
6,7/27/20,1:46:47,6.5,"1,955",106.78,16.4,6407.0,Slow
7,7/29/20,0:12:13,1.73,27,12.22,7.1,733.0,Slow
8,8/2/20,0:14:05,2.0,43,14.08,7.0,845.0,Fast
9,8/4/20,1:17:35,4.78,"1,666",77.58,16.2,4655.0,Slow
10,8/14/20,0:09:56,1.15,20,9.93,8.6,596.0,Slow
11,8/15/20,0:13:43,1.88,35,13.72,7.3,823.0,Slow
12,8/19/20,0:09:56,1.48,15,9.93,6.7,596.0,Fast
13,8/20/20,0:10:29,1.57,19,10.48,6.7,629.0,Fast
14,8/21/20,0:10:01,1.51,17,10.02,6.6,601.0,Fast
15,8/23/20,0:10:54,1.51,17,10.9,7.2,654.0,Slow
16,8/24/20,0:12:05,1.8,17,12.08,6.7,725.0,Fast
17,8/25/20,0:13:10,2.0,19,13.17,6.6,790.0,Fast
18,8/26/20,0:13:39,2.0,19,13.65,6.8,819.0,Fast
19,8/27/20,0:13:31,2.0,19,13.52,6.8,811.0,Fast
20,8/31/20,0:12:41,2.0,21,12.68,6.3,761.0,Fast
21,9/2/20,0:11:37,1.7,20,11.62,6.8,697.0,Fast
22,9/5/20,0:13:40,2.0,20,13.67,6.8,820.0,Fast
23,9/7/20,0:13:06,1.95,22,13.1,6.7,786.0,Fast
24,9/11/20,0:10:24,1.53,15,10.4,6.8,624.0,Fast
25,9/15/20,0:14:28,1.95,19,14.47,7.4,868.0,Slow
26,9/19/20,0:09:25,1.0,8,9.42,9.4,565.0,Slow
27,9/23/20,0:10:43,1.5,20,10.72,7.1,643.0,Slow
28,9/30/20,0:10:06,1.5,15,10.1,6.7,606.0,Fast
29,10/7/20,0:09:36,1.5,15,9.6,6.4,576.0,Fast
30,10/9/20,0:14:54,2.0,19,14.9,7.4,894.0,Slow
31,10/10/20,0:10:23,1.5,17,10.38,6.9,623.0,Fast
32,10/12/20,0:10:17,1.6,19,10.28,6.4,617.0,Fast
33,10/23/20,0:05:06,1.0,11,5.1,5.1,306.0,Fast
34,10/26/20,0:06:56,1.0,14,6.93,6.9,416.0,Fast
35,10/30/20,0:06:41,1.1,11,6.68,6.1,401.0,Fast
36,11/2/20,0:14:00,2.0,20,14.0,7.0,840.0,Fast
37,11/7/20,0:07:38,1.15,10,7.63,6.6,458.0,Fast
38,11/12/20,0:08:51,1.36,15,8.85,6.5,531.0,Fast
39,11/13/20,0:07:30,1.0,14,7.5,7.5,450.0,Slow
40,11/16/20,0:11:00,1.56,18,11.0,7.1,660.0,Slow
41,11/17/20,0:13:48,2.0,20,13.8,6.9,828.0,Fast
42,11/20/20,0:10:11,1.52,12,10.18,6.7,611.0,Fast
43,11/25/20,0:26:00,3.0,160,26.0,8.7,1560.0,Slow
44,11/26/20,0:19:14,2.24,657,19.23,8.6,1154.0,Slow
